,,,,,,,,,中央銀行,,,一般政府,,,,,,銀行等（銀行勘定）,,,信託銀行（銀行勘定）,,,,,,その他金融機関,,,,,,,,,,,,,,,,,,,,,,,,その他,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,銀行等及び信託銀行（信託勘定）,,,,,,,,,金融商品取引業者,,,生命保険会社,,,損害保険会社,,,投資信託委託会社等,,,,,
,,,（a+b+c+ｄ),,, Public Sector,,,,,,,,,Deposit-taking Corporations (b),,,,,,,,,Other Sectors （d),,,,,,,,,銀行等（信託勘定）,,,信託銀行（信託勘定）,,,,,,,,,,,,,,,,,
,,,,,,,,,Central Bank (a),,,General Government (ｃ),,,,,,Banks（Banking Accounts),,,Trust Banks(Banking Accounts）,,,,,,Other Financial Corporations,,,Banks and Trust banks（Trust Accounts）,,,Banks（Trust Accounts）,,,Trust Banks（Trust Accounts）,,,Financial Instruments Firms,,,Life Insurance Companies,,,Non-Life Insurance Companies,,,Investment Trust Management Companies,,,Others,,
,,,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット
,,,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net
,3月,Mar,"132,144","122,243","9,900",0,602,-602,-,-,-,-,-,-,"58,910","55,625","3,285","52,126","45,993","6,133","6,784","9,632","-2,848","73,233","66,016","7,217","69,107","61,097","8,010","21,025","19,774","1,251",-,-,-,-,-,-,"14,392","10,597","3,796","16,504","15,125","1,379",144,83,61,"17,042","15,518","1,523","4,126","4,920",-794
,4月,Apr,"110,003","117,615","-7,613",0,10,-10,-,-,-,-,-,-,"32,347","59,672","-27,325","23,644","48,062","-24,418","8,703","11,610","-2,907","77,656","57,933","19,723","75,571","54,578","20,995","22,212","20,538","1,674",-,-,-,-,-,-,"12,035","6,360","5,676","21,056","10,483","10,573","1,256",851,406,"19,012","16,346","2,666","2,085","3,356","-1,271"
,5月,May,"83,276","62,994","20,283",0,3,-3,-,-,-,-,-,-,"19,156","9,413","9,744","15,397","6,808","8,589","3,759","2,604","1,155","64,120","53,578","10,542","61,939","49,383","12,554","19,727","17,773","1,954",-,-,-,-,-,-,"12,642","6,823","5,819","13,259","12,259",999,426,612,-187,"15,885","11,916","3,969","2,182","4,194","-2,013"
,6月,Jun,"106,676","98,697","7,980",0,2,-2,-,-,-,-,-,-,"32,337","27,085","5,252","27,975","25,681","2,294","4,362","1,404","2,958","74,340","71,610","2,730","71,650","67,117","4,533","20,525","19,590",935,-,-,-,-,-,-,"15,812","12,029","3,784","17,618","19,074","-1,457",830,"1,063",-233,"16,865","15,361","1,504","2,689","4,492","-1,803"
,7月,Jul,"111,931","112,220",-289,0,0,0,-,-,-,-,-,-,"45,484","49,798","-4,314","36,885","47,852","-10,967","8,599","1,946","6,653","66,447","62,422","4,025","64,233","57,400","6,833","19,395","19,614",-219,-,-,-,-,-,-,"10,950","6,437","4,513","14,938","15,518",-580,427,565,-138,"18,523","15,266","3,257","2,214","5,022","-2,808"
,8月,Aug,"119,741","138,367","-18,626",0,30,-30,-,-,-,-,-,-,"55,410","76,366","-20,957","36,023","49,366","-13,342","19,386","27,001","-7,614","64,331","61,971","2,360","62,581","58,011","4,570","19,288","17,659","1,628",-,-,-,-,-,-,"9,965","6,938","3,027","9,398","11,361","-1,962",313,304,10,"23,617","21,749","1,867","1,750","3,960","-2,209"
,9月,Sep,"144,003","143,926",77,0,6,-6,-,-,-,-,-,-,"80,173","79,794",380,"65,511","69,344","-3,834","14,662","10,449","4,213","63,830","64,126",-296,"60,975","58,450","2,523","19,430","17,568","1,862",-,-,-,-,-,-,"9,167","6,642","2,525","11,770","13,904","-2,135",299,128,171,"20,309","20,208",100,"2,855","5,675","-2,820"
,10月,Oct,"170,387","168,238","2,149",0,1,-1,-,-,-,-,-,-,"95,306","87,211","8,095","69,320","69,027",293,"25,986","18,184","7,803","75,081","81,026","-5,945","72,172","77,613","-5,442","22,722","22,290",431,-,-,-,-,-,-,"8,696","6,808","1,888","24,310","23,863",447,67,29,38,"16,377","24,623","-8,246","2,910","3,413",-503
,11月,Nov,"138,597","132,529","6,068",0,0,0,-,-,-,-,-,-,"89,287","87,498","1,789","66,729","65,568","1,161","22,558","21,931",628,"49,310","45,030","4,280","47,194","42,417","4,777","19,146","16,539","2,607",-,-,-,-,-,-,"6,356","5,280","1,076","9,620","7,633","1,987",0,40,-40,"12,072","12,925",-853,"2,116","2,614",-498
,12月,Dec,"137,541","139,909","-2,368",0,2,-2,-,-,-,-,-,-,"81,847","75,308","6,539","68,346","52,582","15,764","13,502","22,727","-9,225","55,693","64,598","-8,905","54,254","61,561","-7,307","16,127","15,705",423,-,-,-,-,-,-,"7,280","5,845","1,435","17,906","24,455","-6,549",0,193,-193,"12,941","15,363","-2,423","1,440","3,038","-1,598"
